placeId,name,address,lat,lng,types
ChIJ36Blk2PxNIgR71Zgkh_hdDI,Quick Schwartz Super Market Inc,"1901 Fifth Avenue, Pittsburgh",40.438522,-79.9792757,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJFWbuuADyNIgRYShQuP2H4RU,Food Shoppe,"5878 Northumberland Street, Pittsburgh",40.44156100000001,-79.920557,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJMWsnJADyNIgRw4CWZZRWuTY,Panda Supermarket,"5816-5818 Forbes Avenue, Pittsburgh",40.4379242,-79.9222397,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJDegvr53tNIgR3mmQRGc5NKU,ALDI,"401 Penn Avenue, Wilkinsburg",40.445452,-79.889206,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJe96CpPvzNIgR1XLc9bffY6M,Giant Eagle Supermarket,"318-320 Cedar Avenue, Pittsburgh",40.4514625,-79.99960930000002,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJuVURit3zNIgRpunVsdpgoOE,Lotus Food Company,"1649 Penn Avenue, Pittsburgh",40.44970259999999,-79.9862923,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJgX5HVMjzNIgRbOZX3IGiepE,Many More Marketplace,"2767 Liberty Avenue, Pittsburgh",40.4560012,-79.975833,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJbYyVTMPzNIgR5H5QfxE85Hs,WFH Oriental Market,"2306 Penn Avenue, Pittsburgh",40.4528612,-79.9811714,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ_TZ3jjryNIgRtqpEUTSzkZs,Bombay Food Market,"4605 Centre Avenue #1503, Pittsburgh",40.4521243,-79.95175239999999,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJJ8WbBavzNIgRGXpEFO0XUhM,Fudi Asian Mart 福宝超市,"5020 Centre Avenue, Pittsburgh",40.4541858,-79.9436049,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJS1VVVRDyNIgRZH6zaKD986M,Market District Supermarket,"5550 Centre Avenue, Pittsburgh",40.4565029,-79.9346192,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJ0cXvQA3yNIgRxeZU65tOynE,Tokyo Japanese Food Store,"5855 Ellsworth Avenue, Pittsburgh",40.4575615,-79.9292598,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJGU03RBPyNIgRsceo17xVpJc,ALDI,"5631 Baum Boulevard, Pittsburgh",40.45827519999999,-79.934899,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ1zoyg4rtNIgRSxPRbL-pIKM,Trader Joe's,"6343 Penn Avenue, Pittsburgh",40.4592363,-79.9191827,"grocery_or_supermarket,supermarket,food,health,store,point_of_interest,establishment"
ChIJEy_NC_b1NIgR8S7dQjH5BWw,Giant Eagle Supermarket,"1800 McKees Rocks Road, McKees Rocks",40.4678497,-80.09736629999999,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJZaSGOcv1NIgR66Te3ET9gig,ALDI,"114 Chartiers Avenue, McKees Rocks",40.465765,-80.055964,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJWyvma2v0NIgRYOi1LBrBA1w,Kuhn's Market,"1130 Highwood Street, Pittsburgh",40.468347,-80.0266654,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJl3h2oknyNIgRCj8_7YNbIDQ,bp,"4006 Liberty Avenue, Pittsburgh",40.462871,-79.957021,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJRe1uJ2ryNIgRBggOzYdROvs,ALDI,"5200 Penn Avenue, Pittsburgh",40.464522,-79.939418,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJuzJXK3fzNIgRRGhy1I7o2eI,Whole Foods Market,"5700 Penn Avenue, Pittsburgh",40.4625517,-79.9288163,"grocery_or_supermarket,supermarket,liquor_store,health,store,food,point_of_interest,establishment"
ChIJ6RDkZ13zNIgRB4KfciY0JZA,Target Grocery,"6231 Penn Avenue, Pittsburgh",40.4609075,-79.9212089,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJadbpTU7sNIgR9TDt5uvYOsY,bp,"8936 Frankstown Road, Pittsburgh",40.46092,-79.86715,"gas_station,supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJq6L-2k_sNIgR727Uz6D8wXc,Giant Eagle Supermarket,"9001 Frankstown Road, Pittsburgh",40.4624143,-79.86536459999999,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJO4g7_Yr1NIgRcEtE6TXEoV4,bp,"2 Heckel Road, McKees Rocks",40.4743783,-80.0949558,"gas_station,car_wash,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJpUwLa7f1NIgRvy_idPPD1oE,bp,"801 Island Avenue, McKees Rocks",40.47373,-80.06329,"gas_station,supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJWc81avf0NIgRtCY_9PDFxJg,Giant Eagle Supermarket,"4110 Brighton Road, Pittsburgh",40.4892217,-80.0442083,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJB5uj-gTzNIgR0sIgYUONhZs,bp,"1001 Evergreen Road Pittsburgh, Millvale",40.49045,-79.9717,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJLfcRf5bzNIgR3cpSjuiWFio,ALDI,"450 56th Street, Pittsburgh",40.483331,-79.948527,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ327s1hvtNIgRAfVeZ5GUoIs,bp,"100 Fox Chapel Road, Pittsburgh",40.489103,-79.883029,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJOeshiQT1NIgR9Fed4LhUIgk,Kuhn's Market,"661 Lincoln Avenue, Bellevue",40.49719399999999,-80.060188,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJdd7vMQ_1NIgRPLtLfNx3oBY,bp,"901 Ohio River Boulevard, Pittsburgh",40.49564000000001,-80.066724,"gas_station,supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJA6JJtGLzNIgRICd2GWO1Nak,bp,"4260 Evergreen Road, Pittsburgh",40.495281,-80.00787100000001,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJfbwbwhbzNIgRTx0w1Qdw7dU,SHOP 'n SAVE,"1620 Babcock Boulevard, Millvale",40.49912399999999,-79.97912110000001,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJQdXg6ZjyNIgRcYwG-H_nabQ,Amoco,"1501 North Canal Street, Pittsburgh",40.496634,-79.926272,"gas_station,supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJsyjq4WD1NIgRZMHid5nSI40,bp,"8136 Ohio River Boulevard, Pittsburgh",40.51082999999999,-80.09412800000001,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ_SP0Fo9fNIgRbLoiihFiUFE,"All American Grating, Inc.","3001 Grand Avenue, Pittsburgh",40.50363240000001,-80.1011323,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJgZjhPs_yNIgRBGH8nwrwm8s,SHOP 'n SAVE,"917 Butler Street, Pittsburgh",40.5120178,-79.95008229999999,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJC_HZtMHyNIgRL5r20NAHXJU,ALDI,"880 Butler Street, Pittsburgh",40.511982,-79.94504100000002,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJxWAZULrsNIgRBlAa1Dkq7I4,Giant Eagle Supermarket,"200 Allegheny River Boulevard, Verona",40.4992036,-79.8445572,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJIWKj6TD1NIgR1BjlokoX4O0,Giant Eagle Supermarket,"132 Ben Avon Heights Road, Pittsburgh",40.5216658,-80.0690333,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJ-YxLR8b0NIgROSHL_OWgzbA,Giant Eagle Supermarket,"Park SC, 1029 West View Park Drive, West View",40.51686029999999,-80.0389965,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJ1a4xW670NIgRs_ZIqK2A6aU,Shop 'n Save,"184 Rochester Road, West View",40.51996870000001,-80.0179282,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJgy0rNlTzNIgR1XHsfog8CYY,bp,"4775 McKnight Road, Pittsburgh",40.521684,-80.005517,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
