placeId,name,address,lat,lng,types,category,businessStatus,rating,userRatingsTotal
ChIJST_-0AD7NIgRKHbbJ_ktXpI,Tropical Smoothie Cafe,"681 Clairton Boulevard, Pittsburgh",40.32929530000001,-79.9444152,"cafe,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.1,177.0
ChIJSTMvn2r7NIgRGCX9j0NCjC8,Jersey Mikes,"619 Clairton Boulevard, Pleasant Hills",40.3322115,-79.9440441,"meal_takeaway,store,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,3.8,172.0
ChIJqUOAnOn6NIgRNlDy80cIv-I,Fortune Star Asian Buffet & Grill,"591 Clairton Boulevard, Pleasant Hills",40.3326867,-79.9443134,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,3.9,1301.0
ChIJYXI2oFz7NIgRuU4clFuc_1o,Texas Roadhouse,"511 Clairton Boulevard, Pittsburgh",40.33396509999999,-79.9448218,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.4,2744.0
ChIJe4nXFWL7NIgRQbxYSF-0ogQ,Raising Cane's Chicken Fingers,"410 Clairton Boulevard, Pleasant Hills",40.3357142,-79.94816229999999,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.2,420.0
ChIJXSPqiev6NIgR78OxQxn6efI,Starbucks Coffee Company,"428 Clairton Boulevard, West Mifflin",40.33614,-79.94771999999999,"cafe,store,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.4,822.0
ChIJ_zQtrJr7NIgR4LlDaKBCUcQ,The Burger Den,"271 Clairton Boulevard, Pittsburgh",40.3379538,-79.95097,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.0,12.0
ChIJH1qlt9j7NIgRxJPx27CIZwc,Sam's Club Cafe,"2251 Century Drive, West Mifflin",40.34390519999999,-79.9483254,"cafe,meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.2,5.0
ChIJa_QlTjPlNIgRDhAkBgPh0LY,Tricky Ricky's,"2317 New England Road, West Mifflin",40.3315141,-79.91907390000001,"bar,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,2.3,3.0
ChIJYbw5j2zlNIgRPz_x9_p7m4g,Dollar General,"28 Monongahela Avenue, Glassport",40.3350061,-79.8911949,"drugstore,convenience_store,grocery_or_supermarket,food,health,store,point_of_interest,establishment",convenience,OPERATIONAL,4.1,325.0
ChIJGR_nJBflNIgRbkfVYDIkTzM,Glassport Minimart,"601 Monongahela Avenue, Glassport",40.325881,-79.8921629,"convenience_store,food,store,point_of_interest,establishment",convenience,OPERATIONAL,4.0,16.0
ChIJI36SFdblNIgR1Na4HgzZSfM,The Original HotSpot,"539 Monongahela Avenue, Glassport",40.32619259999999,-79.8920953,"convenience_store,food,store,point_of_interest,establishment",convenience,OPERATIONAL,4.5,43.0
ChIJsVZzaQrlNIgRphy5C_et5KM,Sunoco,"336 Monongahela Avenue, Glassport",40.32943279999999,-79.8928202,"gas_station,convenience_store,food,store,point_of_interest,establishment",convenience,OPERATIONAL,2.2,5.0
ChIJxbejo5flNIgRP1YvjN0JU5o,Fuzzy’s,"426 6th Street, Glassport",40.3259201,-79.8896834,"convenience_store,food,store,point_of_interest,establishment",convenience,OPERATIONAL,4.7,27.0
ChIJ42fMn2zlNIgRqrAMO6KO3hQ,Subway,"48 Monongahela Avenue, Glassport",40.3351012,-79.8911689,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",CLOSED_TEMPORARILY,3.7,134.0
ChIJKTY3j2zlNIgRNB8QyyFiIvI,Mama Pepino's Pizza & Pub,"44 Monongahela Avenue, Glassport",40.3347144,-79.891128,"meal_delivery,bar,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.3,642.0
ChIJ_XORXG7lNIgRPiaRPyrPQyI,Max n Odi's,"500 Monongahela Avenue, Glassport",40.32752459999999,-79.8927903,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,145.0
ChIJtW2SCiTlNIgRqbCacHxoFPs,GLADS Deli,"614 Monongahela Avenue, Glassport",40.3254215,-79.8926591,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.7,173.0
ChIJe4OJPxflNIgRJ_nhwgDp4uY,Hott Rodz,"626 Monongahela Avenue, Glassport",40.3251504,-79.8926596,"bar,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.2,55.0
ChIJUTaUQBflNIgR0ary_iWkEGI,Glassport Diner,"627 Monongahela Avenue, Glassport",40.3250871,-79.892343,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.4,259.0
ChIJm53mVXPlNIgRa9Bp3X8G-Ws,Port Vue United Methodist Church,"1565 Washington Blvd, McKeesport",40.3326041,-79.8797092,"church,place_of_worship,point_of_interest,establishment",food_bank,OPERATIONAL,4.7,27.0
ChIJY20uZHPlNIgRQV_sLG-EowY,Dollar General,"1555 Washington Boulevard, McKeesport",40.33404280000001,-79.8795262,"drugstore,convenience_store,grocery_or_supermarket,store,health,food,point_of_interest,establishment",convenience,OPERATIONAL,3.8,195.0
ChIJKd3QXb7lNIgRDX9w2jGMGjM,Sunoco,"2615 Liberty Way, McKeesport",40.328463,-79.85624469999999,"gas_station,convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,4.1,17.0
ChIJVUBQlZzlNIgRN9v9o-ksROU,Uni-Mart,"1181 Romine Avenue, McKeesport",40.3424493,-79.8711841,"convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,3.2,17.0
ChIJ7wox3ZzlNIgR2PRRXX3zOAM,Blessing Box,"1301 Locust St, McKeesport",40.342761,-79.86137959999999,"food,point_of_interest,establishment",food_bank,OPERATIONAL,4.0,6.0
ChIJLytcDt3lNIgRWhG2IS3k4tM,ALDI,"300 Eden Park Boulevard, McKeesport",40.327856,-79.838685,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",grocery,OPERATIONAL,4.4,937.0
ChIJl979N-jlNIgRBGBPYGsFPSY,Mckees Mart,"3111 Walnut Street, McKeesport",40.3308457,-79.8430024,"convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,4.3,28.0
ChIJcdfC0sLlNIgRW2lLdvpFgBA,Dollar General,"3600 Walnut Street, McKeesport",40.3274287,-79.84097799999999,"convenience_store,drugstore,grocery_or_supermarket,health,store,food,point_of_interest,establishment",convenience,OPERATIONAL,3.7,193.0
ChIJLTxha5PlNIgRcVNo3lzTusA,APlus,"2105 Walnut Street, McKeesport",40.33640310000001,-79.8526053,"convenience_store,store,food,point_of_interest,establishment",convenience,CLOSED_TEMPORARILY,5.0,1.0
ChIJR16X69HlNIgR84MHNRQH-Vo,On The Fly,"3800 Walnut Street, McKeesport",40.3255641,-79.83954899999999,"convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,,
ChIJNTcKrcXlNIgRj9rUbUlJ0yE,Bossmarket,"2418 Jenny Lind Street, McKeesport",40.3385966,-79.8474158,"convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,5.0,2.0
ChIJJXF0ZvLlNIgRtdRDItgvNn4,Bailie Food Mart,"2316 Bailie Avenue, McKeesport",40.34115389999999,-79.8486825,"convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,3.6,50.0
ChIJjcFDZQDlNIgRrvDjGSmcHJ0,McKees Mart,"2511 Grandview Avenue, McKeesport",40.33545670000001,-79.8347138,"convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,5.0,6.0
ChIJdxW4ON3lNIgRw6lRMwTAzVc,Tillie's Restaurant,"308 36th Street, McKeesport",40.327976,-79.839867,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,1537.0
ChIJmwtwN-jlNIgR80FpQIU4Uv8,Hoot's Again,"3115 Walnut Street, McKeesport",40.3307034,-79.84301669999999,"bar,night_club,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,414.0
ChIJSyGeTOjlNIgRXzxenZs1UaA,Pizza Burgh,"3019 Walnut Street #7159, McKeesport",40.33119790000001,-79.8435903,"meal_delivery,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.1,217.0
ChIJM7HkMqflNIgRIuQrxkJggGE,TKO gyros fries and more,"3101 Walnut Street, McKeesport",40.33101879999999,-79.8432807,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.9,72.0
ChIJPUIZ5t3lNIgRo2XaH336eeA,Mellon's Pub,"502 Eden Park Boulevard, McKeesport",40.327955,-79.83595,"bar,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.4,258.0
ChIJDegdDQ7lNIgRPPf_jrzJpSs,Mckeesport Fish and Chicken Stop,"2314 Bailie Avenue, McKeesport",40.3411462,-79.8487837,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,3.9,10.0
ChIJa2VAlODlNIgR-m-5bJTrJO0,Cal's Cantina,"617 Eden Park Boulevard, McKeesport",40.32977109999999,-79.8335907,"bar,restaurant,food,point_of_interest,establishment",restaurant,CLOSED_TEMPORARILY,4.2,250.0
ChIJHUjOtRbmNIgRXgN4BY5szn8,Speedway,"1200 Long Run Road, White Oak",40.3332846,-79.81255349999999,"gas_station,convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,4.1,61.0
ChIJ-f9mOfvlNIgRGJZlR7O5RVA,Lampert's Market,"2010 Eden Park Boulevard, McKeesport",40.34263300000001,-79.8291445,"meal_takeaway,convenience_store,store,restaurant,food,point_of_interest,establishment","convenience,fast_food,restaurant",OPERATIONAL,4.4,159.0
ChIJTfG9OPvlNIgRkWuQudWx0OU,Grandview Convenience,"1902 Grandview Avenue, McKeesport",40.34000580000001,-79.8369616,"convenience_store,meal_takeaway,grocery_or_supermarket,store,restaurant,food,point_of_interest,establishment","convenience,fast_food,restaurant",OPERATIONAL,3.4,48.0
ChIJ3WyI0RbmNIgRbZwvjP8_UOE,Luciano's Restaurant,"1212 Long Run Road, White Oak",40.333617,-79.81178349999999,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.3,1949.0
ChIJleEO4dXnNIgRxQ5J-xNJ1DY,Speedy Cafe,"1200 Long Run Road, White Oak",40.3332781,-79.8125821,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,3.5,4.0
ChIJ1R9boh3mNIgRAWDvUzN6cqA,Sampson's Mills Presbyterian Church,"1665 Lincoln Way, McKeesport",40.3458349,-79.81504819999999,"church,place_of_worship,point_of_interest,establishment",food_bank,OPERATIONAL,4.5,17.0
ChIJ7375gAbmNIgRQsYua2iERnY,Renzie Farmers Market,"behind Fire Station, Renziehausen Park, Tulip Dr # 2, McKeesport",40.3408431,-79.8243739,"point_of_interest,establishment",farmers_market,OPERATIONAL,4.0,9.0
ChIJU2I5-5jnNIgROuKvPJKfkmM,CCR Gardens,"181 Marshall Dr, McKeesport",40.3332641,-79.8242861,"point_of_interest,establishment",farmers_market,OPERATIONAL,4.9,7.0
ChIJnaGJwyLmNIgRk5siJTO3Pms,Giant Eagle Supermarket,"2001 Lincoln Way, White Oak",40.3371557,-79.8057078,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment",grocery,OPERATIONAL,4.2,1056.0
ChIJUWkHqxnmNIgRQCdPgndNUBk,Dollar General,"1985 Lincoln Way, White Oak",40.33864319999999,-79.807217,"drugstore,convenience_store,grocery_or_supermarket,store,health,food,point_of_interest,establishment",convenience,OPERATIONAL,4.0,224.0
ChIJA02zHBnmNIgRoZFZ5T2oZds,Sunoco,"1969 Lincoln Way, White Oak",40.3397152,-79.8106536,"gas_station,convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,4.7,9.0
ChIJjRXjdBjmNIgRIOnQNmuw9_I,GetGo Gas Station,"2811 Jacks Run Road, McKeesport",40.338065,-79.80769889999999,"gas_station,cafe,convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,3.9,22.0
ChIJUWkHqxnmNIgRseG3GZOGtEk,Subway,"1985 Lincoln Way, White Oak",40.3386657,-79.8082309,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,3.8,198.0
ChIJUWkHqxnmNIgRmb5MK0Tg9dw,Little Caesars Pizza,"1985 Lincoln Way, White Oak",40.3387911,-79.80899389999999,"meal_takeaway,meal_delivery,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,3.3,248.0
ChIJlUaRwyLmNIgRvm1m2Fu6B5A,Palmer's Pizza,"2001 Lincoln Way, White Oak",40.3363519,-79.8048692,"meal_delivery,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,3.9,251.0
ChIJMXsshSLmNIgRWwVKAknxHos,Rita's Italian Ice & Frozen Custard,"Rainbow Village Shopping Center, 1985 Lincoln Way, White Oak",40.338333,-79.806595,"store,restaurant,food,point_of_interest,establishment",restaurant,CLOSED_TEMPORARILY,4.7,417.0
ChIJ9xCGKBfmNIgR5B59whl2UI0,Pizza Hut,"1235 Long Run Road, White Oak",40.3369335,-79.810009,"meal_takeaway,meal_delivery,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.0,600.0
ChIJg7e3viPmNIgR72AHU4jV6Rk,Wendy's,"2805 Jacks Run Road, White Oak",40.3379695,-79.8086276,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,3.2,1437.0
ChIJOca7PRjmNIgRLu7mLL2KFAA,Twin Oaks Lounge,"1985 Lincoln Way, White Oak",40.3386244,-79.80766600000001,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,781.0
ChIJmZtzMBjmNIgR_Hqv01za-xU,Dairy Queen Grill & Chill,"1990 Lincoln Way, White Oak",40.33748550000001,-79.8095262,"store,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.1,800.0
ChIJD4bnCxjmNIgRSonL49IGWX0,Taco Bell,"2802 Jacks Run Road, McKeesport",40.3376578,-79.8070127,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,3.6,700.0
ChIJswr3iyLmNIgRnhmH8GvcnRw,Arby's,"2831 Jacks Run Road, White Oak",40.3386117,-79.8062581,"meal_takeaway,store,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.2,924.0
ChIJmcUFp-LnNIgRwFbG8PciKFE,Wingstop,"2001 Lincoln Way Suite 200, White Oak",40.33628829999999,-79.804745,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.2,170.0
ChIJr4tYsELnNIgRZztYxg9QGrM,China House,"2001 Lincoln Way, White Oak",40.3371633,-79.8053446,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,3.7,40.0
ChIJ_VC1egrnNIgRU5A_9XfnJuU,Up In Smoke Grill,"1955 Lincoln Way, White Oak",40.3406737,-79.8115296,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,,
ChIJEXBRkprnNIgRvY-KFEApNKY,Uncle June's Pizzeria,"1949 Lincoln Way, White Oak",40.3410466,-79.8118659,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",CLOSED_TEMPORARILY,4.5,91.0
ChIJV6UTKPjnNIgRyqFu8g-bo3k,Shop 'n Save,"12120 U.S. 30, North Huntingdon",40.3304894,-79.7430377,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment",grocery,OPERATIONAL,3.8,513.0
ChIJwYwXGPnnNIgRnYsPC43I4Uo,DG Market,"12259 U.S. 30, North Huntingdon",40.33435409999999,-79.7433271,"grocery_or_supermarket,convenience_store,drugstore,home_goods_store,food,health,store,point_of_interest,establishment",convenience,OPERATIONAL,4.3,316.0
ChIJFVz7-eLnNIgRcFjJxx4V-oA,Sunoco,"12970 U.S. 30, Irwin",40.3399265,-79.7539984,"gas_station,convenience_store,food,store,point_of_interest,establishment",convenience,OPERATIONAL,4.1,104.0
ChIJlV77-eLnNIgR8LsVD2-5iwI,ATM,"12790 Lincoln Highway, Irwin",40.33868719999999,-79.7498691,"atm,convenience_store,finance,food,store,point_of_interest,establishment",convenience,OPERATIONAL,,
ChIJw5RxgHXnNIgRCpwIja_io4U,Latin Market Multservices,"13380 U.S. 30, Irwin",40.3423023,-79.76071519999999,"convenience_store,hardware_store,food,store,point_of_interest,establishment",convenience,OPERATIONAL,5.0,6.0
ChIJm_rO_T_dNIgRDkjNmFzorOo,McDonald's,"12118 U.S. 30, Irwin",40.3320551,-79.74218130000001,"cafe,store,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,3.6,671.0
ChIJxQagNUbdNIgRmtgyTi8xfQs,Pizza Marsala,"12120 Lincoln Highway a204, North Huntingdon",40.33129879999999,-79.7437492,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.1,210.0
ChIJPZ9NQPjnNIgRk94Xe666LG0,China Garden Restaurant,"90 Malts Lane, Irwin",40.3332054,-79.7440838,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.6,669.0
ChIJZSjS2fnnNIgR75eMUbMI-Ug,Atami Japan,"12120 U.S. 30 STE 170, North Huntingdon",40.3311225,-79.7435884,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.4,293.0
